,SC001Q01TA,SC013Q01TA,CNTSCHID,CCAA
0,5.0,2.0,72400001.0,13
1,,1.0,72400002.0,15
2,3.0,2.0,72400003.0,09
3,4.0,1.0,72400004.0,06
4,3.0,1.0,72400005.0,17
5,3.0,2.0,72400006.0,08
6,2.0,1.0,72400007.0,17
7,4.0,2.0,72400008.0,12
8,4.0,1.0,72400009.0,16
9,5.0,2.0,72400010.0,13
10,4.0,1.0,72400011.0,09
11,3.0,1.0,72400012.0,16
12,3.0,2.0,72400013.0,06
13,5.0,1.0,72400014.0,13
14,3.0,2.0,72400015.0,13
15,2.0,1.0,72400016.0,08
16,2.0,2.0,72400017.0,16
17,2.0,1.0,72400018.0,03
18,2.0,1.0,72400019.0,13
19,3.0,2.0,72400020.0,09
20,3.0,1.0,72400021.0,13
21,4.0,2.0,72400022.0,05
22,3.0,1.0,72400023.0,08
23,4.0,2.0,72400024.0,16
24,4.0,2.0,72400025.0,10
25,2.0,1.0,72400026.0,04
26,2.0,1.0,72400027.0,09
27,2.0,1.0,72400028.0,14
28,2.0,1.0,72400029.0,06
29,5.0,2.0,72400030.0,13
30,2.0,1.0,72400031.0,01
31,1.0,1.0,72400032.0,11
32,5.0,2.0,72400033.0,13
33,3.0,2.0,72400034.0,16
34,2.0,1.0,72400035.0,03
35,2.0,1.0,72400036.0,14
36,3.0,1.0,72400037.0,06
37,3.0,2.0,72400038.0,15
38,3.0,2.0,72400039.0,08
39,3.0,1.0,72400040.0,16
40,2.0,1.0,72400041.0,17
41,2.0,1.0,72400042.0,05
42,5.0,2.0,72400043.0,13
43,2.0,2.0,72400044.0,09
44,3.0,2.0,72400045.0,14
45,2.0,1.0,72400046.0,07
46,3.0,1.0,72400047.0,17
47,4.0,2.0,72400048.0,06
48,3.0,2.0,72400049.0,14
49,3.0,1.0,72400050.0,05
50,1.0,1.0,72400051.0,02
51,3.0,1.0,72400052.0,13
52,3.0,2.0,72400053.0,13
53,3.0,2.0,72400054.0,11
54,3.0,1.0,72400055.0,01
55,4.0,1.0,72400056.0,06
56,3.0,1.0,72400057.0,05
57,3.0,2.0,72400058.0,09
58,4.0,2.0,72400059.0,16
59,3.0,1.0,72400060.0,07
60,1.0,2.0,72400061.0,11
61,1.0,1.0,72400062.0,15
62,4.0,1.0,72400063.0,14
63,4.0,2.0,72400064.0,12
64,2.0,1.0,72400065.0,01
65,3.0,2.0,72400066.0,18
66,4.0,1.0,72400067.0,05
67,2.0,2.0,72400068.0,12
68,3.0,1.0,72400069.0,14
69,4.0,2.0,72400070.0,07
70,3.0,2.0,72400071.0,14
71,3.0,2.0,72400072.0,09
72,4.0,1.0,72400073.0,01
73,5.0,2.0,72400074.0,17
74,4.0,2.0,72400075.0,16
75,4.0,2.0,72400076.0,17
76,3.0,1.0,72400077.0,01
77,,2.0,72400078.0,16
78,3.0,1.0,72400079.0,12
79,1.0,1.0,72400080.0,10
80,2.0,2.0,72400081.0,16
81,4.0,2.0,72400082.0,14
82,4.0,2.0,72400083.0,03
83,3.0,2.0,72400084.0,16
84,3.0,2.0,72400085.0,13
85,3.0,2.0,72400086.0,04
86,3.0,2.0,72400087.0,13
87,3.0,1.0,72400088.0,05
88,5.0,1.0,72400089.0,13
89,4.0,1.0,72400090.0,07
90,4.0,2.0,72400091.0,04
91,2.0,1.0,72400092.0,11
92,3.0,1.0,72400093.0,03
93,4.0,1.0,72400094.0,10
94,2.0,1.0,72400095.0,11
95,4.0,2.0,72400096.0,14
96,3.0,2.0,72400097.0,13
97,1.0,1.0,72400098.0,03
98,2.0,1.0,72400099.0,11
99,,,72400100.0,13
100,4.0,1.0,72400101.0,09
101,1.0,1.0,72400102.0,14
102,3.0,1.0,72400103.0,13
103,4.0,1.0,72400104.0,16
104,4.0,1.0,72400105.0,03
105,3.0,1.0,72400106.0,05
106,3.0,1.0,72400107.0,07
107,4.0,1.0,72400108.0,16
108,4.0,2.0,72400109.0,15
109,4.0,1.0,72400110.0,03
110,3.0,2.0,72400111.0,17
111,3.0,2.0,72400112.0,05
112,4.0,1.0,72400113.0,07
113,4.0,2.0,72400114.0,02
114,3.0,1.0,72400115.0,17
115,5.0,1.0,72400116.0,13
116,,,72400117.0,06
117,3.0,1.0,72400118.0,08
118,4.0,1.0,72400119.0,12
119,4.0,2.0,72400120.0,11
120,3.0,2.0,72400121.0,07
121,,,72400122.0,04
122,3.0,1.0,72400123.0,09
123,5.0,2.0,72400124.0,09
124,2.0,1.0,72400125.0,10
125,3.0,2.0,72400126.0,01
126,3.0,1.0,72400127.0,08
127,3.0,1.0,72400128.0,09
128,3.0,2.0,72400129.0,13
129,3.0,1.0,72400130.0,17
130,3.0,1.0,72400131.0,04
131,3.0,2.0,72400132.0,16
132,3.0,1.0,72400133.0,05
133,2.0,1.0,72400134.0,02
134,4.0,2.0,72400135.0,16
135,2.0,1.0,72400136.0,01
136,2.0,1.0,72400137.0,16
137,5.0,1.0,72400138.0,13
138,1.0,1.0,72400139.0,07
139,3.0,1.0,72400140.0,12
140,2.0,1.0,72400141.0,08
141,2.0,1.0,72400142.0,07
142,2.0,1.0,72400143.0,06
143,4.0,1.0,72400144.0,13
144,,,72400145.0,11
145,4.0,1.0,72400146.0,03
146,3.0,2.0,72400147.0,11
147,5.0,2.0,72400148.0,13
148,4.0,1.0,72400149.0,03
149,2.0,2.0,72400150.0,15
150,2.0,1.0,72400151.0,16
151,1.0,1.0,72400152.0,15
152,2.0,1.0,72400153.0,01
153,2.0,1.0,72400154.0,08
154,2.0,1.0,72400155.0,09
155,3.0,1.0,72400156.0,14
156,3.0,1.0,72400157.0,01
157,3.0,1.0,72400158.0,14
158,3.0,1.0,72400159.0,16
159,,,72400160.0,16
160,2.0,1.0,72400161.0,11
161,2.0,1.0,72400162.0,17
162,4.0,1.0,72400163.0,03
163,2.0,1.0,72400164.0,04
164,2.0,1.0,72400165.0,09
165,3.0,1.0,72400166.0,07
166,3.0,1.0,72400167.0,15
167,3.0,1.0,72400168.0,14
168,2.0,1.0,72400169.0,17
169,5.0,1.0,72400170.0,09
170,4.0,1.0,72400171.0,12
171,3.0,2.0,72400172.0,16
172,4.0,2.0,72400173.0,04
173,4.0,2.0,72400174.0,11
174,3.0,1.0,72400175.0,01
175,2.0,1.0,72400176.0,12
176,2.0,1.0,72400177.0,16
177,3.0,1.0,72400178.0,01
178,4.0,,72400179.0,16
179,1.0,1.0,72400180.0,06
180,1.0,1.0,72400181.0,10
181,2.0,1.0,72400182.0,10
182,4.0,1.0,72400183.0,03
183,4.0,2.0,72400184.0,15
184,3.0,2.0,72400185.0,05
185,2.0,1.0,72400186.0,08
186,3.0,1.0,72400187.0,16
187,2.0,1.0,72400188.0,17
188,4.0,1.0,72400189.0,12
189,3.0,1.0,72400190.0,08
190,3.0,1.0,72400192.0,06
191,2.0,1.0,72400193.0,08
192,4.0,1.0,72400194.0,09
193,,,72400195.0,16
194,4.0,1.0,72400196.0,01
195,3.0,2.0,72400197.0,02
196,3.0,1.0,72400198.0,13
197,4.0,1.0,72400199.0,02
198,3.0,1.0,72400200.0,05
199,4.0,1.0,72400201.0,06
200,1.0,1.0,72400202.0,10
201,2.0,2.0,72400203.0,15
202,4.0,2.0,72400204.0,02
203,2.0,1.0,72400205.0,05
204,1.0,1.0,72400206.0,08
205,3.0,1.0,72400207.0,18
206,1.0,1.0,72400208.0,12
207,4.0,1.0,72400209.0,02
208,4.0,1.0,72400210.0,04
209,4.0,2.0,72400211.0,16
210,2.0,1.0,72400212.0,10
211,4.0,2.0,72400213.0,02
212,2.0,2.0,72400214.0,04
213,2.0,1.0,72400215.0,04
214,2.0,1.0,72400216.0,01
215,2.0,1.0,72400217.0,09
216,4.0,1.0,72400218.0,02
217,2.0,1.0,72400219.0,15
218,3.0,2.0,72400220.0,08
219,2.0,2.0,72400221.0,04
220,3.0,1.0,72400222.0,09
221,3.0,1.0,72400223.0,08
222,1.0,2.0,72400224.0,06
223,4.0,2.0,72400225.0,02
224,4.0,1.0,72400226.0,01
225,3.0,2.0,72400227.0,07
226,2.0,1.0,72400228.0,10
227,2.0,1.0,72400229.0,11
228,4.0,1.0,72400230.0,02
229,4.0,1.0,72400231.0,02
230,2.0,1.0,72400232.0,11
231,4.0,2.0,72400233.0,16
232,,,72400234.0,02
233,4.0,1.0,72400235.0,16
234,2.0,2.0,72400236.0,04
235,5.0,2.0,72400237.0,13
236,2.0,1.0,72400238.0,05
237,2.0,1.0,72400239.0,06
238,3.0,2.0,72400240.0,06
239,1.0,1.0,72400241.0,05
240,5.0,1.0,72400242.0,13
241,4.0,1.0,72400243.0,13
242,5.0,2.0,72400244.0,13
243,3.0,2.0,72400245.0,13
244,2.0,1.0,72400246.0,06
245,3.0,2.0,72400247.0,16
246,4.0,1.0,72400248.0,17
247,,,72400249.0,13
248,4.0,2.0,72400250.0,04
249,2.0,1.0,72400251.0,05
250,4.0,1.0,72400252.0,13
251,2.0,1.0,72400253.0,03
252,3.0,1.0,72400254.0,09
253,2.0,1.0,72400255.0,10
254,4.0,2.0,72400256.0,03
255,3.0,2.0,72400257.0,07
256,4.0,2.0,72400258.0,07
257,4.0,1.0,72400259.0,15
258,3.0,2.0,72400260.0,18
259,1.0,1.0,72400261.0,09
260,3.0,1.0,72400262.0,14
261,4.0,1.0,72400263.0,04
262,2.0,1.0,72400264.0,09
263,4.0,1.0,72400265.0,17
264,3.0,1.0,72400266.0,18
265,4.0,1.0,72400268.0,12
266,3.0,1.0,72400269.0,16
267,3.0,1.0,72400270.0,08
268,2.0,1.0,72400271.0,05
269,2.0,1.0,72400272.0,04
270,2.0,1.0,72400273.0,08
271,2.0,2.0,72400274.0,12
272,3.0,1.0,72400275.0,01
273,3.0,1.0,72400276.0,08
274,5.0,1.0,72400277.0,13
275,3.0,2.0,72400278.0,15
276,4.0,2.0,72400279.0,05
277,4.0,2.0,72400280.0,07
278,5.0,1.0,72400281.0,13
279,2.0,1.0,72400282.0,10
280,3.0,2.0,72400283.0,13
281,2.0,1.0,72400284.0,06
282,4.0,2.0,72400285.0,16
283,1.0,1.0,72400286.0,11
284,3.0,1.0,72400287.0,14
285,4.0,1.0,72400288.0,07
286,3.0,2.0,72400289.0,16
287,2.0,1.0,72400290.0,02
288,4.0,2.0,72400291.0,16
289,4.0,2.0,72400292.0,15
290,2.0,2.0,72400293.0,10
291,4.0,1.0,72400294.0,15
292,2.0,1.0,72400295.0,16
293,3.0,1.0,72400296.0,13
294,2.0,2.0,72400297.0,13
295,4.0,2.0,72400298.0,15
296,4.0,1.0,72400299.0,11
297,4.0,2.0,72400300.0,07
298,5.0,1.0,72400301.0,13
299,2.0,1.0,72400302.0,15
300,4.0,1.0,72400303.0,07
301,3.0,2.0,72400304.0,10
302,4.0,1.0,72400305.0,07
303,4.0,1.0,72400306.0,10
304,4.0,1.0,72400307.0,06
305,4.0,1.0,72400308.0,02
306,2.0,1.0,72400309.0,01
307,2.0,1.0,72400310.0,07
308,4.0,2.0,72400311.0,06
309,3.0,2.0,72400312.0,08
310,2.0,1.0,72400313.0,16
311,4.0,1.0,72400314.0,01
312,1.0,1.0,72400315.0,07
313,3.0,1.0,72400316.0,05
314,4.0,1.0,72400317.0,02
315,3.0,1.0,72400318.0,09
316,3.0,1.0,72400319.0,05
317,3.0,1.0,72400320.0,19
318,2.0,1.0,72400321.0,17
319,4.0,2.0,72400322.0,12
320,3.0,1.0,72400323.0,16
321,3.0,2.0,72400324.0,12
322,3.0,2.0,72400325.0,13
323,4.0,2.0,72400326.0,16
324,5.0,2.0,72400327.0,13
325,3.0,2.0,72400328.0,05
326,2.0,2.0,72400329.0,16
327,3.0,2.0,72400330.0,14
328,4.0,1.0,72400331.0,14
329,2.0,2.0,72400332.0,16
330,3.0,1.0,72400334.0,04
331,1.0,1.0,72400335.0,08
332,3.0,2.0,72400336.0,10
333,2.0,2.0,72400337.0,07
334,3.0,2.0,72400338.0,16
335,3.0,1.0,72400339.0,06
336,2.0,1.0,72400340.0,06
337,3.0,2.0,72400341.0,06
338,3.0,2.0,72400342.0,13
339,3.0,1.0,72400343.0,04
340,4.0,1.0,72400344.0,16
341,2.0,1.0,72400345.0,08
342,1.0,2.0,72400346.0,11
343,4.0,1.0,72400347.0,09
344,2.0,2.0,72400348.0,17
345,2.0,1.0,72400349.0,16
346,3.0,2.0,72400350.0,03
347,4.0,2.0,72400351.0,13
348,4.0,2.0,72400352.0,04
349,3.0,1.0,72400353.0,05
350,4.0,2.0,72400354.0,16
351,3.0,1.0,72400355.0,13
352,4.0,2.0,72400356.0,16
353,4.0,1.0,72400357.0,06
354,4.0,1.0,72400358.0,16
355,3.0,1.0,72400359.0,16
356,2.0,2.0,72400360.0,14
357,2.0,2.0,72400361.0,08
358,4.0,2.0,72400362.0,15
359,,,72400363.0,04
360,4.0,2.0,72400364.0,16
361,3.0,2.0,72400365.0,10
362,3.0,1.0,72400366.0,06
363,4.0,1.0,72400367.0,13
364,3.0,1.0,72400368.0,14
365,2.0,1.0,72400369.0,02
366,2.0,1.0,72400370.0,07
367,4.0,2.0,72400371.0,02
368,3.0,2.0,72400372.0,16
369,3.0,2.0,72400373.0,19
370,3.0,2.0,72400374.0,08
371,4.0,2.0,72400375.0,11
372,2.0,1.0,72400376.0,15
373,2.0,1.0,72400377.0,15
374,3.0,1.0,72400378.0,01
375,3.0,2.0,72400379.0,16
376,3.0,1.0,72400380.0,16
377,5.0,1.0,72400381.0,09
378,4.0,1.0,72400382.0,13
379,4.0,2.0,72400383.0,06
380,2.0,1.0,72400384.0,12
381,4.0,2.0,72400385.0,07
382,3.0,2.0,72400386.0,05
383,2.0,1.0,72400387.0,02
384,2.0,1.0,72400388.0,08
385,1.0,1.0,72400389.0,12
386,1.0,2.0,72400390.0,16
387,3.0,1.0,72400391.0,14
388,2.0,1.0,72400392.0,10
389,2.0,1.0,72400393.0,05
390,2.0,1.0,72400394.0,04
391,3.0,1.0,72400395.0,07
392,3.0,1.0,72400396.0,04
393,2.0,1.0,72400397.0,08
394,2.0,1.0,72400398.0,11
395,2.0,2.0,72400399.0,16
396,5.0,1.0,72400400.0,13
397,3.0,1.0,72400401.0,01
398,4.0,2.0,72400402.0,14
399,3.0,1.0,72400403.0,13
400,3.0,1.0,72400404.0,17
401,2.0,1.0,72400405.0,06
402,2.0,1.0,72400406.0,11
403,2.0,1.0,72400407.0,08
404,3.0,2.0,72400408.0,05
405,4.0,1.0,72400409.0,11
406,5.0,1.0,72400410.0,13
407,,,72400411.0,10
408,3.0,2.0,72400412.0,07
409,4.0,1.0,72400413.0,16
410,3.0,2.0,72400414.0,17
411,4.0,1.0,72400415.0,15
412,3.0,2.0,72400416.0,11
413,4.0,2.0,72400417.0,11
414,4.0,1.0,72400418.0,17
415,4.0,2.0,72400419.0,12
416,3.0,2.0,72400420.0,13
417,4.0,1.0,72400421.0,13
418,3.0,1.0,72400422.0,11
419,3.0,2.0,72400423.0,17
420,4.0,2.0,72400424.0,16
421,4.0,2.0,72400425.0,14
422,3.0,1.0,72400426.0,05
423,5.0,2.0,72400427.0,13
424,4.0,1.0,72400428.0,02
425,3.0,2.0,72400429.0,04
426,3.0,2.0,72400430.0,13
427,4.0,2.0,72400431.0,07
428,5.0,2.0,72400432.0,13
429,3.0,1.0,72400433.0,04
430,4.0,2.0,72400434.0,16
431,2.0,2.0,72400435.0,11
432,2.0,1.0,72400436.0,05
433,2.0,1.0,72400437.0,03
434,2.0,1.0,72400438.0,06
435,3.0,1.0,72400439.0,02
436,3.0,1.0,72400440.0,11
437,4.0,1.0,72400441.0,02
438,3.0,1.0,72400442.0,04
439,4.0,1.0,72400443.0,14
440,4.0,1.0,72400444.0,14
441,5.0,2.0,72400445.0,13
442,4.0,2.0,72400446.0,16
443,5.0,2.0,72400447.0,13
444,3.0,1.0,72400448.0,05
445,2.0,1.0,72400449.0,06
446,2.0,1.0,72400450.0,14
447,5.0,2.0,72400451.0,13
448,5.0,2.0,72400452.0,13
449,2.0,1.0,72400453.0,01
450,3.0,2.0,72400454.0,13
451,3.0,2.0,72400455.0,01
452,4.0,1.0,72400456.0,10
453,4.0,2.0,72400457.0,16
454,3.0,1.0,72400458.0,15
455,4.0,2.0,72400459.0,12
456,5.0,1.0,72400460.0,05
457,4.0,1.0,72400461.0,04
458,2.0,2.0,72400462.0,16
459,5.0,1.0,72400463.0,13
460,1.0,1.0,72400464.0,10
461,2.0,1.0,72400465.0,15
462,4.0,2.0,72400466.0,15
463,4.0,2.0,72400467.0,16
464,4.0,2.0,72400468.0,12
465,3.0,2.0,72400469.0,03
466,2.0,1.0,72400470.0,10
467,3.0,1.0,72400471.0,02
468,3.0,2.0,72400472.0,02
469,4.0,2.0,72400473.0,16
470,2.0,1.0,72400474.0,05
471,2.0,2.0,72400475.0,09
472,2.0,1.0,72400476.0,07
473,4.0,2.0,72400477.0,16
474,,,72400478.0,13
475,3.0,1.0,72400479.0,13
476,4.0,2.0,72400480.0,16
477,4.0,2.0,72400481.0,16
478,3.0,2.0,72400482.0,17
479,3.0,1.0,72400483.0,01
480,2.0,1.0,72400484.0,06
481,4.0,2.0,72400485.0,01
482,3.0,2.0,72400486.0,02
483,3.0,2.0,72400487.0,16
484,4.0,1.0,72400488.0,03
485,,,72400489.0,11
486,3.0,2.0,72400490.0,16
487,5.0,2.0,72400491.0,13
488,1.0,2.0,72400492.0,14
489,3.0,2.0,72400493.0,02
490,2.0,2.0,72400494.0,06
491,4.0,1.0,72400495.0,03
492,2.0,1.0,72400496.0,14
493,5.0,2.0,72400497.0,13
494,4.0,1.0,72400498.0,04
495,3.0,1.0,72400499.0,16
496,,,72400500.0,16
497,5.0,2.0,72400501.0,09
498,4.0,2.0,72400502.0,11
499,2.0,1.0,72400503.0,15
500,5.0,2.0,72400504.0,09
501,1.0,2.0,72400505.0,03
502,5.0,1.0,72400506.0,09
503,3.0,2.0,72400507.0,01
504,3.0,1.0,72400508.0,03
505,3.0,1.0,72400509.0,07
506,2.0,1.0,72400510.0,04
507,3.0,2.0,72400511.0,17
508,5.0,2.0,72400512.0,13
509,2.0,1.0,72400513.0,14
510,4.0,2.0,72400514.0,12
511,3.0,2.0,72400515.0,13
512,1.0,1.0,72400516.0,08
513,3.0,1.0,72400517.0,04
514,3.0,2.0,72400518.0,03
515,2.0,2.0,72400519.0,09
516,4.0,2.0,72400520.0,03
517,2.0,1.0,72400521.0,05
518,3.0,1.0,72400522.0,02
519,4.0,1.0,72400523.0,16
520,4.0,2.0,72400524.0,06
521,3.0,1.0,72400525.0,11
522,3.0,1.0,72400526.0,01
523,5.0,2.0,72400527.0,13
524,2.0,2.0,72400528.0,06
525,2.0,1.0,72400529.0,10
526,3.0,1.0,72400530.0,16
527,4.0,2.0,72400531.0,02
528,3.0,1.0,72400532.0,16
529,3.0,2.0,72400533.0,13
530,3.0,2.0,72400534.0,08
531,5.0,2.0,72400535.0,13
532,3.0,1.0,72400536.0,10
533,4.0,1.0,72400537.0,16
534,3.0,2.0,72400538.0,05
535,3.0,2.0,72400539.0,15
536,4.0,2.0,72400540.0,15
537,3.0,2.0,72400541.0,17
538,4.0,2.0,72400542.0,02
539,4.0,1.0,72400543.0,16
540,2.0,2.0,72400544.0,12
541,4.0,1.0,72400545.0,06
542,3.0,2.0,72400546.0,09
543,3.0,2.0,72400547.0,04
544,3.0,2.0,72400548.0,09
545,2.0,1.0,72400549.0,13
546,1.0,1.0,72400550.0,10
